station_id,station_number,station_name,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
160,128,Cea Bermúdez,receiver,60,448,136,312,0.7533425739999999,7,0
161,129,José Abascal,receiver,238,1575,504,1071,0.8032232652941176,27,238
162,140,Velázquez 130,donor,21,165,165,0,0.7855285947619047,0,0
162,140,Velázquez 130,receiver,228,1721,657,1064,0.8286230174122807,27,0
163,126,General Álvarez de Castro,donor,3,20,20,0,0.7522771666666667,0,3
163,126,General Álvarez de Castro,receiver,176,1172,463,709,0.7526195906818182,23,176
164,125,General Martínez Campos ,donor,6,35,35,0,0.5975743,0,6
164,125,General Martínez Campos ,receiver,353,2380,1116,1264,0.8364597567138811,40,353
165,141,Paseo de la Castellana - Glorieta de Emilio Castelar,donor,78,270,270,0,0.7561629403846154,2,78
165,141,Paseo de la Castellana - Glorieta de Emilio Castelar,receiver,482,1619,1035,584,0.8611173724896265,69,482
166,143,Diego de León 52,donor,3,20,20,0,0.6323952833333334,1,0
166,143,Diego de León 52,receiver,124,673,183,490,0.7996443405645162,12,0
167,142,Castellana 42,donor,14,87,87,0,0.7496500614285714,0,0
167,142,Castellana 42,receiver,225,1422,817,605,0.8589299921777778,12,0
168,127,Fernando el Católico,donor,26,152,152,0,0.7485919842307692,4,0
168,127,Fernando el Católico,receiver,57,365,156,209,0.6854489105263157,5,0
169,124,Manuel Silvela,donor,6,39,39,0,0.7311051000000001,1,0
169,124,Manuel Silvela,receiver,160,1057,357,700,0.745803689375,15,0
170,144,Juan Bravo 50,donor,9,55,55,0,0.7221789422222222,3,0
170,144,Juan Bravo 50,receiver,93,605,212,393,0.7499225577419355,8,0
171,145,Ortega y Gasset 87,donor,1,8,8,0,0.8162911,0,0
171,145,Ortega y Gasset 87,receiver,86,523,272,251,0.762905463372093,15,0
172,160,Colombia,donor,19,123,123,0,0.7527156794736842,1,0
172,160,Colombia,receiver,25,154,22,132,0.6888316212,4,0
173,159,Paseo de la Habana 63,receiver,20,122,13,109,0.7327756005,4,0
174,166,Segovia 26,donor,24,158,158,0,0.8524633679166667,3,0
174,166,Segovia 26,receiver,190,603,469,134,0.9033048641578947,23,0
175,167,Segovia 45,donor,42,259,259,0,0.7578875235714286,2,0
175,167,Segovia 45,receiver,53,335,154,181,0.6641890360377358,9,0
176,168,Batalla del Salado,donor,40,247,247,0,0.79706251375,4,0
176,168,Batalla del Salado,receiver,7,45,30,15,0.7097666014285714,1,0
177,169,Pirámides,donor,48,299,299,0,0.7516886452083332,5,0
177,169,Pirámides,receiver,41,253,145,108,0.6837177536585366,5,0
178,170,Paseo de la Esperanza,donor,65,427,427,0,0.8241121166153846,6,0
178,170,Paseo de la Esperanza,receiver,24,157,52,105,0.6196152975,2,0
179,171,Embajadores-Cáceres,donor,46,291,291,0,0.8119952741304348,2,0
179,171,Embajadores-Cáceres,receiver,38,234,167,67,0.6739139973684211,9,0
180,172,Delicias,donor,21,136,136,0,0.7544725242857142,3,0
180,172,Delicias,receiver,23,159,138,21,0.7520313495652174,0,0
