fecha_hora_local,transfer_pairs,transferred_units,mean_distance_km,max_distance_km,stable_support_pairs
2022-12-11 08:00:00,28,71,2.06830127172168,2.9285305616729094,25
2022-12-11 09:00:00,27,71,2.067440393811454,2.91826069805755,25
2022-12-11 10:00:00,27,59,1.9000761845481544,2.9285305616729094,24
2022-12-11 11:00:00,19,46,1.9469183394579987,2.8681313589330966,17
2022-12-11 12:00:00,20,44,1.7936029665108335,2.9285305616729094,18
2022-12-11 13:00:00,21,50,2.0128702328173596,2.9285305616729094,17
2022-12-11 14:00:00,24,67,1.8586598397299652,2.9285305616729094,17
2022-12-11 15:00:00,29,63,1.7043496894275671,2.8658583304312444,24
2022-12-11 16:00:00,30,73,1.7887284406877542,2.9629581818438506,23
2022-12-11 17:00:00,24,49,1.90415257118247,2.946560511388148,22
2022-12-11 18:00:00,19,43,1.325556565398833,2.5146573925694486,18
2022-12-11 19:00:00,14,36,1.5309139600448183,2.8239812404277314,12
2022-12-11 20:00:00,19,55,1.4070695347669055,2.906787282992784,15
2022-12-11 21:00:00,28,69,1.5730475538097688,2.9325838204553825,20
2022-12-11 22:00:00,30,83,1.7149186550542506,2.946560511388148,22
2022-12-11 23:00:00,35,95,1.5928329225134747,2.797144547426169,25
2022-12-12 00:00:00,34,97,1.7439837519861223,2.932070170813467,23
2022-12-12 01:00:00,40,104,1.7682658014480765,2.921314449360022,32
2022-12-12 02:00:00,34,96,1.8238256807847077,2.8422674245496946,23
2022-12-12 03:00:00,37,100,1.954208841944959,2.97956828706784,26
2022-12-12 04:00:00,35,99,1.9135188158353031,2.9993381897320246,23
2022-12-12 05:00:00,32,92,1.8414922258895297,2.9993381897320246,25
2022-12-12 06:00:00,30,80,1.7988229834100329,2.879388782337,26
2022-12-12 07:00:00,28,65,1.6991374443060485,2.930874975177461,25
2022-12-12 08:00:00,22,54,1.7793484952808496,2.932070170813467,19
2022-12-12 09:00:00,21,49,1.7146770998362983,2.923934659564923,19
2022-12-12 10:00:00,15,37,1.5965979002950879,2.883623532468021,14
2022-12-12 11:00:00,12,22,1.1870815571492128,2.883623532468021,11
2022-12-12 12:00:00,17,32,1.6230460619790288,2.9403611221961587,16
2022-12-12 13:00:00,17,31,1.318788198112742,2.3672343607342166,16
2022-12-12 14:00:00,21,40,1.8024039571839578,2.9694631126212876,20
2022-12-12 15:00:00,26,45,1.682129450707515,2.803713090258654,24
2022-12-12 16:00:00,13,28,1.3266251058902796,2.9694631126212876,12
2022-12-12 17:00:00,11,20,1.3014866332169361,2.207147614210424,11
2022-12-12 18:00:00,13,26,1.3912524878520538,2.9629581818438506,12
2022-12-12 19:00:00,11,18,1.3241334007021839,2.3844642122053874,11
2022-12-12 20:00:00,12,21,2.177072958535289,2.9694631126212876,11
2022-12-12 21:00:00,13,21,2.121082362948207,2.9267324700222894,13
2022-12-12 22:00:00,18,50,2.360009630859677,2.9883092036134644,15
2022-12-12 23:00:00,24,50,2.1789345594819745,2.907155504250296,23
2022-12-13 00:00:00,25,50,1.8962806332987563,2.7628460883400314,25
