fecha_hora_local,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
2022-11-05 12:00:00,receiver,32,157,66,91,0.77939752625,0,3
2022-11-05 13:00:00,donor,1,6,6,0,0.66512024,0,0
2022-11-05 13:00:00,receiver,31,153,56,97,0.7907795267741936,0,5
2022-11-05 14:00:00,donor,1,6,6,0,0.55036455,0,0
2022-11-05 14:00:00,receiver,36,192,53,139,0.7719090813888889,0,5
2022-11-05 15:00:00,donor,2,12,12,0,0.60623388,0,0
2022-11-05 15:00:00,receiver,34,176,62,114,0.7811321570588234,0,4
2022-11-05 16:00:00,donor,5,28,28,0,0.549992644,0,1
2022-11-05 16:00:00,receiver,42,231,78,153,0.7769717614285715,0,5
2022-11-05 17:00:00,donor,6,34,34,0,0.6742297033333333,0,1
2022-11-05 17:00:00,receiver,37,192,86,106,0.7767887786486487,0,4
2022-11-05 18:00:00,donor,3,18,18,0,0.6951626666666667,3,2
2022-11-05 18:00:00,receiver,34,170,75,95,0.7903165220588235,34,2
2022-11-05 19:00:00,donor,2,11,11,0,0.599753825,2,0
2022-11-05 19:00:00,receiver,37,197,77,120,0.8078235218918919,37,1
2022-11-05 20:00:00,donor,3,22,22,0,0.7407595333333333,0,0
2022-11-05 20:00:00,receiver,35,183,83,100,0.7994829331428571,0,2
2022-11-05 21:00:00,donor,3,22,22,0,0.8432447766666668,0,0
2022-11-05 21:00:00,receiver,37,195,87,108,0.8311832110810811,0,2
2022-11-05 22:00:00,donor,7,46,46,0,0.7139713571428572,0,0
2022-11-05 22:00:00,receiver,38,199,97,102,0.8495693318421053,0,2
2022-11-05 23:00:00,donor,6,37,37,0,0.7165139383333333,0,0
2022-11-05 23:00:00,receiver,39,208,106,102,0.8670439276923076,0,2
2022-11-06 00:00:00,donor,5,30,30,0,0.68626643,0,0
2022-11-06 00:00:00,receiver,37,192,91,101,0.8849213786486487,0,2
2022-11-06 01:00:00,donor,4,24,24,0,0.75494371,0,0
2022-11-06 01:00:00,receiver,38,191,100,91,0.8918012094736841,0,3
2022-11-06 02:00:00,donor,9,56,56,0,0.8195537866666667,0,0
2022-11-06 02:00:00,receiver,40,201,132,69,0.87652739625,0,7
2022-11-06 03:00:00,donor,12,77,77,0,0.83008129,0,0
2022-11-06 03:00:00,receiver,41,213,135,78,0.8949017641463415,0,6
2022-11-06 04:00:00,donor,12,78,78,0,0.8539832966666667,0,0
2022-11-06 04:00:00,receiver,43,229,141,88,0.9101515941860465,0,7
2022-11-06 05:00:00,donor,13,81,81,0,0.8520039246153845,0,0
2022-11-06 05:00:00,receiver,50,275,154,121,0.9034488468,0,9
2022-11-06 06:00:00,donor,15,98,98,0,0.832040016,0,0
2022-11-06 06:00:00,receiver,52,292,170,122,0.8868395919230768,0,9
2022-11-06 07:00:00,donor,13,88,88,0,0.8488375346153846,0,0
2022-11-06 07:00:00,receiver,52,298,182,116,0.8927431915384615,0,8
2022-11-06 08:00:00,donor,13,83,83,0,0.7654512484615386,13,0
2022-11-06 08:00:00,receiver,47,260,152,108,0.8788847642553191,47,7
2022-11-06 09:00:00,donor,9,57,57,0,0.7334704455555555,0,0
2022-11-06 09:00:00,receiver,40,214,149,65,0.8711985784999999,0,6
2022-11-06 10:00:00,donor,6,38,38,0,0.7295223783333333,0,0
2022-11-06 10:00:00,receiver,38,206,121,85,0.8571351100000001,0,6
2022-11-06 11:00:00,donor,7,42,42,0,0.6651928214285715,0,0
2022-11-06 11:00:00,receiver,45,243,125,118,0.8098595431111111,0,8
2022-11-06 12:00:00,donor,3,21,21,0,0.75341426,0,0
2022-11-06 12:00:00,receiver,40,210,87,123,0.7952736755,0,6
2022-11-06 13:00:00,donor,6,37,37,0,0.6480855116666667,0,0
2022-11-06 13:00:00,receiver,35,170,92,78,0.79576976,0,4
2022-11-06 14:00:00,donor,3,22,22,0,0.7715839333333333,0,0
2022-11-06 14:00:00,receiver,36,180,85,95,0.7796954788888889,0,5
2022-11-06 15:00:00,donor,4,27,27,0,0.74767937,0,0
2022-11-06 15:00:00,receiver,31,135,96,39,0.7604113361290322,0,7
2022-11-06 16:00:00,donor,4,29,29,0,0.7857735450000001,0,0
2022-11-06 16:00:00,receiver,31,143,91,52,0.7997934283870968,0,7
2022-11-06 17:00:00,donor,3,16,16,0,0.6986625766666666,0,0
2022-11-06 17:00:00,receiver,34,157,58,99,0.7762014655882353,0,5
2022-11-06 18:00:00,donor,7,43,43,0,0.6780977657142857,7,0
2022-11-06 18:00:00,receiver,36,179,87,92,0.8108362202777778,36,3
2022-11-06 19:00:00,donor,9,63,63,0,0.7167532222222222,9,0
2022-11-06 19:00:00,receiver,31,157,106,51,0.8374864829032258,31,4
2022-11-06 20:00:00,donor,8,55,55,0,0.73990146,0,0
2022-11-06 20:00:00,receiver,30,143,98,45,0.813265765,0,4
2022-11-06 21:00:00,donor,7,51,51,0,0.8072869285714287,0,0
2022-11-06 21:00:00,receiver,29,142,94,48,0.875851664137931,0,2
2022-11-06 22:00:00,donor,8,50,50,0,0.76423491,0,0
2022-11-06 22:00:00,receiver,31,152,110,42,0.884013270967742,0,2
2022-11-06 23:00:00,donor,11,74,74,0,0.8141801736363636,0,0
2022-11-06 23:00:00,receiver,30,150,115,35,0.8954221453333333,0,4
2022-11-07 00:00:00,donor,14,94,94,0,0.8336629635714286,0,0
2022-11-07 00:00:00,receiver,40,205,129,76,0.8766395680000001,0,5
2022-11-07 01:00:00,donor,13,85,85,0,0.8469399876923076,0,0
2022-11-07 01:00:00,receiver,41,223,136,87,0.9266776475609757,0,5
2022-11-07 02:00:00,donor,14,91,91,0,0.8611495042857144,0,0
2022-11-07 02:00:00,receiver,42,228,140,88,0.9326547038095238,0,5
2022-11-07 03:00:00,donor,14,98,98,0,0.9336320592857142,0,0
