class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component,rank_correlation_value_shap,direction_association,valid_rows,factor_family,interpretation_scope
2,riesgo_saturacion,net_flow_lag_1h,0.04921160265803337,-0.025402402505278587,-0.03438809886574745,-0.06189386546611786,-0.008161671459674835,10,0.015093483582341522,0.000742774516779741,0.5534797018760841,valores_altos_aumentan_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,occupancy_ratio_lag_1h,0.04260832071304321,0.008263413794338703,-0.003168618306517601,-0.02791483700275421,0.02593342959880829,11,0.015093483582341522,0.00064310798915346,0.8003740668967144,valores_altos_aumentan_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,arrivals_count_lag_24h,0.026407497003674507,-0.018090130761265755,-0.02175505831837654,-0.03191956505179405,-0.007389528211206198,12,0.015093483582341522,0.0003985811224756941,0.594737130021108,valores_altos_aumentan_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,departures_count_mean_previous_3h,0.02508644014596939,-0.0004248884506523609,-0.0030519054271280766,-0.024439528584480286,0.023300401866436005,13,0.015093483582341522,0.0003786417724825823,-0.7335366650447293,valores_altos_reducen_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,net_flow_mean_previous_3h,0.024558141827583313,-0.013502470217645168,-0.01550755649805069,-0.028299326077103615,-0.0023550307378172874,14,0.015093483582341522,0.00037066791048744334,0.8362812291491275,valores_altos_aumentan_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,arrivals_count_mean_previous_3h,0.023614216595888138,-0.010520043782889843,-0.013047931715846062,-0.021703071892261505,-0.0035054238978773355,15,0.015093483582341522,0.0003564207904998943,0.560615960421304,valores_altos_aumentan_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,occupancy_ratio_mean_previous_3h,0.022633863613009453,0.012179448269307613,0.012837216258049011,-0.004262532573193312,0.025389257818460464,16,0.015093483582341522,0.00034162384884791534,-0.5864139158277208,valores_altos_reducen_contribucion,11881.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,departures_count_lag_24h,0.022283701226115227,0.0020868193823844194,-0.0038809902034699917,-0.013905661180615425,0.015012932941317558,17,0.015093483582341522,0.0003363386786101738,-0.6685663227916457,valores_altos_reducen_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,station_id,0.02191057801246643,-0.008818341419100761,-0.00989784486591816,-0.018391355872154236,-0.0008114649681374431,18,0.015093483582341522,0.0003307069495107752,,,,identidad_y_heterogeneidad_espacial,asociacion_predictiva_no_causal
2,riesgo_saturacion,week_of_year,0.02057492546737194,-0.018239498138427734,-0.017631880939006805,-0.027308538556098938,-0.006865231785923243,19,0.015093483582341522,0.00031054729974967885,0.46842328074032147,valores_altos_aumentan_contribucion,12000.0,temporal_y_calendario,asociacion_predictiva_no_causal
2,riesgo_saturacion,net_flow_mean_previous_24h,0.020359152927994728,-0.00850311666727066,-0.009309312328696251,-0.022868815809488297,0.006802366115152836,20,0.015093483582341522,0.00030729054046906874,0.00391088268833338,sin_direccion_monotona_clara,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
