class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component
2,riesgo_saturacion,capacity,0.012298204936087132,-0.002312573604285717,-0.006404045037925243,-0.009358251467347145,-0.0019563022069633007,26,0.015093483582341522,0.0001856227542951026
2,riesgo_saturacion,bikes_available,0.1180078312754631,-0.018383724614977837,-0.05136891454458237,-0.13228434324264526,0.09888321906328201,3,0.015093483582341522,0.0017811492639439308
2,riesgo_saturacion,docks_available,0.25615182518959045,-0.21231167018413544,-0.03704483062028885,-0.4785544276237488,0.03042479231953621,2,0.015093483582341522,0.003866223368085899
2,riesgo_saturacion,reservations_count,0.07742813229560852,-0.040949732065200806,-0.062083106487989426,-0.08490074425935745,-0.027268927544355392,5,0.015093483582341522,0.0011686602436151345
2,riesgo_saturacion,occupancy_ratio,2.710150957107544,-1.3260012865066528,-2.229499340057373,-3.7410082817077637,1.5634011030197144,1,0.015093483582341522,0.04090561897676988
2,riesgo_saturacion,light,0.0697193294763565,-0.022393859922885895,-0.03909188508987427,-0.10339295119047165,0.057540163397789,6,0.015093483582341522,0.0010523075548232463
2,riesgo_saturacion,weather_available,0.0,0.0,0.0,0.0,0.0,49,0.015093483582341522,0.0
2,riesgo_saturacion,uv_radiation_median_mw_m2,0.004226477351039648,-0.003969189710915089,-0.0015689011197537184,-0.0034211776219308376,-0.0011089170584455132,46,0.015093483582341522,6.379226650905521e-05
2,riesgo_saturacion,wind_speed_median_m_s,0.005176499020308256,-0.0005552535294555128,-0.00046942458720877767,-0.003372705541551113,0.0031984986271709204,45,0.015093483582341522,7.813140297702964e-05
2,riesgo_saturacion,wind_direction_sin_mean,0.009301296435296535,-0.004559437744319439,-0.0026844290550798178,-0.008143749088048935,0.0021299144718796015,33,0.015093483582341522,0.00014038896504063998
2,riesgo_saturacion,wind_direction_cos_mean,0.01063214335590601,-0.0028915787115693092,-0.004521524533629417,-0.009268851950764656,0.004339173901826143,30,0.015093483582341522,0.00016047608118746886
2,riesgo_saturacion,temperature_median_c,0.007499323692172766,-0.004470109939575195,-0.004308917559683323,-0.008544538170099258,0.0005175818223506212,38,0.015093483582341522,0.00011319091902647445
2,riesgo_saturacion,relative_humidity_median_pct,0.0132684838026762,-0.006397135555744171,-0.005047487560659647,-0.013913804665207863,0.0025094901211559772,25,0.015093483582341522,0.00020026764243825763
2,riesgo_saturacion,barometric_pressure_median_mb,0.01173892430961132,-0.006749254651367664,-0.006583796348422766,-0.012451687827706337,0.0019160129595547915,27,0.015093483582341522,0.00017718126134146824
2,riesgo_saturacion,solar_radiation_median_w_m2,0.014851302839815617,0.009378479793667793,0.009833801537752151,0.0028418959118425846,0.016262434422969818,23,0.015093483582341522,0.00022415789558913904
2,riesgo_saturacion,precipitation_mean_l_m2,0.0034360866993665695,0.00021414844377432019,-0.0011505947913974524,-0.0016655445797368884,-0.0006187071558088064,47,0.015093483582341522,5.1862518184391384e-05
2,riesgo_saturacion,precipitation_max_l_m2,0.0014797219773754478,-0.0004132745962124318,-0.00025100549100898206,-0.0006348502938635647,-3.1466453947359696e-05,48,0.015093483582341522,2.2334159371946253e-05
2,riesgo_saturacion,n_temperature,0.005240493919700384,-0.0016445621149614453,-0.0008102805586531758,-0.003935810644179583,0.0014484596904367208,43,0.015093483582341522,7.909730894035831e-05
2,riesgo_saturacion,n_relative_humidity,0.008157340809702873,-0.0014706182992085814,-0.000849769392516464,-0.006390189286321402,0.004237753804773092,36,0.015093483582341522,0.00012312268958681482
2,riesgo_saturacion,n_precipitation,0.008890495635569096,0.0073318202048540115,0.005919896997511387,0.0016308360500261188,0.012670192867517471,34,0.015093483582341522,0.0001341885499143411
2,riesgo_saturacion,hour,0.05194263532757759,-0.008180014789104462,-0.019923869520425797,-0.044733285903930664,0.012437727302312851,8,0.015093483582341522,0.0007839953135403451
2,riesgo_saturacion,day_of_week,0.013731583021581173,-0.004506610333919525,-0.00587057089433074,-0.013843483291566372,0.004773702472448349,24,0.015093483582341522,0.000207257422895795
2,riesgo_saturacion,month,0.010627485811710358,-0.010570521466434002,-0.00870517361909151,-0.012804985977709293,-0.0058610341511666775,31,0.015093483582341522,0.00016040578262061775
2,riesgo_saturacion,week_of_year,0.02057492546737194,-0.018239498138427734,-0.017631880939006805,-0.027308538556098938,-0.006865231785923243,19,0.015093483582341522,0.00031054729974967885
2,riesgo_saturacion,occupancy_ratio_lag_1h,0.04260832071304321,0.008263413794338703,-0.003168618306517601,-0.02791483700275421,0.02593342959880829,11,0.015093483582341522,0.00064310798915346
2,riesgo_saturacion,occupancy_ratio_lag_2h,0.01874786615371704,0.0023150581400841475,0.0017878306098282337,-0.0166463665664196,0.018819406628608704,21,0.015093483582341522,0.00028297060999506445
2,riesgo_saturacion,occupancy_ratio_lag_24h,0.010470819659531116,-0.003537478856742382,-0.004680377431213856,-0.009637592360377312,9.784672147361562e-05,32,0.015093483582341522,0.00015804114462479176
2,riesgo_saturacion,bikes_available_lag_1h,0.011450457386672497,0.00609614746645093,0.0019438089802861214,-0.0033011732157319784,0.017697438597679138,28,0.015093483582341522,0.00017282729057604255
2,riesgo_saturacion,bikes_available_lag_2h,0.007555827964097261,-0.002196251880377531,-0.0014260070165619254,-0.005661312490701675,0.002723474521189928,37,0.015093483582341522,0.00011404376532709898
2,riesgo_saturacion,bikes_available_lag_24h,0.006554983556270599,0.0004862202040385455,0.0013626834843307734,-0.004811053164303303,0.00563950277864933,40,0.015093483582341522,9.893753668908894e-05
2,riesgo_saturacion,net_flow_lag_1h,0.04921160265803337,-0.025402402505278587,-0.03438809886574745,-0.06189386546611786,-0.008161671459674835,10,0.015093483582341522,0.000742774516779741
2,riesgo_saturacion,net_flow_lag_2h,0.005632687825709581,-0.0017770645208656788,-0.0011780941858887672,-0.004864765331149101,0.001154894707724452,42,0.015093483582341522,8.501688122180253e-05
2,riesgo_saturacion,net_flow_lag_24h,0.04925261437892914,-0.0213208869099617,-0.02207430638372898,-0.05486644059419632,-0.0029942505061626434,9,0.015093483582341522,0.0007433935265157649
2,riesgo_saturacion,departures_count_lag_1h,0.007346261292695999,-0.004548769909888506,-0.003927908837795258,-0.010655689984560013,0.0007986312848515809,39,0.015093483582341522,0.00011088067421289807
2,riesgo_saturacion,departures_count_lag_2h,0.014884709380567074,0.0008737363968975842,0.005144760012626648,-0.01350917387753725,0.013733177445828915,22,0.015093483582341522,0.00022466211666351396
2,riesgo_saturacion,departures_count_lag_24h,0.022283701226115227,0.0020868193823844194,-0.0038809902034699917,-0.013905661180615425,0.015012932941317558,17,0.015093483582341522,0.0003363386786101738
2,riesgo_saturacion,arrivals_count_lag_1h,0.06959418952465057,-0.040987323969602585,-0.06145058199763298,-0.0803280919790268,-0.01930941455066204,7,0.015093483582341522,0.0010504187570166777
2,riesgo_saturacion,arrivals_count_lag_2h,0.005221708212047815,-0.002432160312309861,-0.0025906984228640795,-0.004277937114238739,0.00012739983503706753,44,0.015093483582341522,7.88137671703216e-05
2,riesgo_saturacion,arrivals_count_lag_24h,0.026407497003674507,-0.018090130761265755,-0.02175505831837654,-0.03191956505179405,-0.007389528211206198,12,0.015093483582341522,0.0003985811224756941
2,riesgo_saturacion,occupancy_ratio_mean_previous_3h,0.022633863613009453,0.012179448269307613,0.012837216258049011,-0.004262532573193312,0.025389257818460464,16,0.015093483582341522,0.00034162384884791534
2,riesgo_saturacion,occupancy_ratio_mean_previous_24h,0.07862436771392822,-0.05495615676045418,-0.037775248289108276,-0.11032208800315857,-0.002437436953186989,4,0.015093483582341522,0.0011867156032621584
2,riesgo_saturacion,net_flow_mean_previous_3h,0.024558141827583313,-0.013502470217645168,-0.01550755649805069,-0.028299326077103615,-0.0023550307378172874,14,0.015093483582341522,0.00037066791048744334
2,riesgo_saturacion,net_flow_mean_previous_24h,0.020359152927994728,-0.00850311666727066,-0.009309312328696251,-0.022868815809488297,0.006802366115152836,20,0.015093483582341522,0.00030729054046906874
2,riesgo_saturacion,departures_count_mean_previous_3h,0.02508644014596939,-0.0004248884506523609,-0.0030519054271280766,-0.024439528584480286,0.023300401866436005,13,0.015093483582341522,0.0003786417724825823
2,riesgo_saturacion,departures_count_mean_previous_24h,0.008374733850359917,-0.004470668733119965,-0.004360662307590246,-0.008849847130477428,0.0005352148436941206,35,0.015093483582341522,0.0001264039078768872
2,riesgo_saturacion,arrivals_count_mean_previous_3h,0.023614216595888138,-0.010520043782889843,-0.013047931715846062,-0.021703071892261505,-0.0035054238978773355,15,0.015093483582341522,0.0003564207904998943
2,riesgo_saturacion,arrivals_count_mean_previous_24h,0.01077225711196661,-0.0026598903350532055,-0.0027957791462540627,-0.009488578885793686,0.002914690412580967,29,0.015093483582341522,0.00016259088586422974
2,riesgo_saturacion,station_id,0.02191057801246643,-0.008818341419100761,-0.00989784486591816,-0.018391355872154236,-0.0008114649681374431,18,0.015093483582341522,0.0003307069495107752
2,riesgo_saturacion,tipo_dia,0.0059428950771689415,0.00022430444369092584,-0.0018313665641471744,-0.0035126807633787394,0.002565669361501932,41,0.015093483582341522,8.969898927882767e-05
