prediction_row_index,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,probability_0,probability_1,probability_2
105771,2022-11-28 23:00:00,233,2,2,False,0.13162786,0.00049241417,0.86787975
24000,2022-11-18 02:00:00,129,2,2,False,0.19508296,0.0008365178,0.80408055
61637,2022-11-07 06:00:00,177,2,0,True,0.8678567,0.0010910673,0.13105229
237753,2022-12-30 12:00:00,16,1,1,False,0.0011254506,0.9988029,7.166593e-05
239575,2022-12-15 09:00:00,162,0,0,False,0.6286825,0.0007823818,0.3705351
80550,2022-11-20 19:00:00,20,1,1,False,0.001062115,0.99886775,7.017356e-05
149808,2022-11-16 18:00:00,48,0,0,False,0.91746265,0.08182929,0.00070806046
266718,2022-12-04 18:00:00,197,0,0,False,0.9975745,0.00091024034,0.0015152006
138072,2022-11-04 08:00:00,33,1,0,True,0.9270852,0.0721769,0.000737914
330052,2022-12-30 23:00:00,35,1,1,False,0.005278622,0.9945692,0.00015223981
224220,2022-12-06 11:00:00,143,1,1,False,0.0010510361,0.99888104,6.787374e-05
64488,2022-11-06 21:00:00,180,0,0,False,0.59792966,0.40179792,0.0002724065
80037,2022-11-29 05:00:00,2,1,1,False,0.02390692,0.97601694,7.615789e-05
139426,2022-11-01 01:00:00,35,1,1,False,0.039833065,0.96006805,9.887581e-05
349362,2022-12-24 10:00:00,6,1,0,True,0.63271135,0.36701286,0.0002758119
81652,2022-11-07 01:00:00,201,0,0,False,0.994998,0.004753191,0.00024887276
8935,2022-11-16 00:00:00,11,1,1,False,0.15253016,0.8472797,0.00019013262
286880,2022-12-03 16:00:00,222,1,1,False,0.2853644,0.71441495,0.00022065776
241860,2022-12-21 09:00:00,165,2,2,False,0.16427603,0.001841572,0.83388233
121638,2022-11-04 19:00:00,256,1,1,False,0.32589042,0.6738706,0.00023902237
63109,2022-11-09 02:00:00,179,2,0,True,0.769561,0.0008476654,0.2295914
255514,2022-12-19 10:00:00,182,0,0,False,0.9911329,0.0010029303,0.0078642
175505,2022-11-14 23:00:00,82,2,2,False,0.093596436,0.0004235038,0.90598005
129695,2022-11-12 21:00:00,266,0,0,False,0.9498055,0.050047997,0.00014656721
69930,2022-11-25 04:00:00,187,2,0,True,0.56349725,0.0007574607,0.43574527
182263,2022-11-28 10:00:00,90,0,0,False,0.9955884,0.0013826574,0.0030288966
340839,2022-12-29 19:00:00,49,0,0,False,0.6533939,0.3461702,0.00043590198
66904,2022-11-18 06:00:00,183,0,0,False,0.9906035,0.0011970818,0.008199389
96816,2022-11-13 08:00:00,221,2,2,False,0.2342385,0.0005038639,0.76525766
174859,2022-11-17 20:00:00,81,2,0,True,0.9610037,0.0028389988,0.03615731
9235,2022-11-28 12:00:00,11,0,0,False,0.99231696,0.0021523898,0.0055306866
67401,2022-11-09 04:00:00,184,2,2,False,0.043188136,0.00038334235,0.9564285
221054,2022-12-25 16:00:00,139,0,0,False,0.90427333,0.09550146,0.00022527964
46114,2022-11-15 23:00:00,157,0,0,False,0.99128014,0.0044488627,0.004271022
64412,2022-11-03 17:00:00,180,0,0,False,0.985225,0.001807502,0.012967425
59516,2022-11-08 06:00:00,174,0,0,False,0.99779534,0.0011295066,0.0010751081
276781,2022-12-03 11:00:00,209,1,1,False,0.4023885,0.5973643,0.00024720587
363365,2022-12-06 03:00:00,8,0,0,False,0.99108875,0.008683959,0.00022729904
181050,2022-11-07 14:00:00,9,0,0,False,0.7917841,0.0012565103,0.2069594
100413,2022-11-14 06:00:00,226,2,2,False,0.43179238,0.0006802065,0.5675274
26329,2022-11-25 18:00:00,131,0,0,False,0.99380034,0.003983267,0.0022163454
198871,2022-12-01 17:00:00,111,1,0,True,0.8317542,0.16759208,0.0006536967
62599,2022-11-17 15:00:00,178,0,0,False,0.68572503,0.31401026,0.00026474986
243592,2022-12-02 12:00:00,168,1,0,True,0.7898576,0.20958687,0.0005555135
11092,2022-11-16 12:00:00,112,2,2,False,0.12830326,0.00063621474,0.8710605
365912,2022-12-23 01:00:00,82,2,2,False,0.12882335,0.0005286617,0.87064797
286564,2022-12-21 11:00:00,221,0,0,False,0.99658453,0.0014206523,0.0019947814
182832,2022-11-22 08:00:00,91,2,2,False,0.37082097,0.0027161848,0.6264629
13416,2022-11-23 23:00:00,115,1,0,True,0.54719555,0.45248416,0.0003202813
239189,2022-12-30 06:00:00,161,1,1,False,0.19860896,0.80119723,0.0001938362
245694,2022-12-30 22:00:00,17,0,0,False,0.9825104,0.016872257,0.00061734836
104864,2022-11-20 23:00:00,232,2,2,False,0.11730235,0.0005405315,0.8821571
156103,2022-11-10 22:00:00,56,2,2,False,0.40811574,0.00078436,0.59109986
30659,2022-11-27 10:00:00,137,0,0,False,0.99596727,0.003743628,0.0002890696
187566,2022-11-11 01:00:00,98,1,1,False,0.03612561,0.96376336,0.00011098286
308304,2022-12-26 01:00:00,250,1,1,False,0.12551817,0.8743122,0.00016961644
246444,2022-12-01 04:00:00,171,1,1,False,0.14323294,0.85655683,0.00021024293
73091,2022-11-07 20:00:00,191,0,0,False,0.810745,0.18904237,0.00021263456
152752,2022-11-20 06:00:00,51,2,0,True,0.8267453,0.00073730963,0.17251737
365488,2022-12-04 11:00:00,82,2,2,False,0.113326594,0.00047958494,0.8861938
54655,2022-11-14 08:00:00,168,1,0,True,0.5214837,0.47808966,0.00042658547
243636,2022-12-04 08:00:00,168,2,0,True,0.87775314,0.00097225985,0.12127453
152908,2022-11-26 18:00:00,51,2,0,True,0.9958103,0.0013475033,0.0028422165
