station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
66,1928,1862,3790,-66,66,0.5087071240105541,62 - O'Donnell,'Calle O'Donnell nº 50',40.4213148,-3.6724968
126,1874,1883,3757,9,9,0.4988022358264573,118 - Juan Martín,'Calle Juan Martín el Empecinado nº 16',40.400781,-3.6882407
125,1855,1867,3722,12,12,0.4983879634605051,117 - Altamirano,'Calle Altamirano nº 24',40.4309797,-3.7188898
71,1853,1866,3719,13,13,0.498252218338263,67 - Almadén,'Calle Almadén nº 28',40.4108472,-3.693225
47,1848,1861,3709,13,13,0.4982475060663252,43 - Jesús y María,'Calle Lavapiés nº 34',40.4101564,-3.7025024
67,1872,1834,3706,-38,38,0.5051268213707502,63 - Ibiza,'Calle Ibiza nº 62',40.4179237,-3.6708959
219,1821,1863,3684,42,42,0.494299674267101,211 - Desengaño,'Calle Desengaño nº 1',40.42059,-3.70239
139,1874,1788,3662,-86,86,0.5117422173675588,155 - San Germán 57,'Calle San Germán nº 57',40.4572824,-3.7009675
153,1886,1745,3631,-141,141,0.519416138804737,134 - Agustín de Betancourt,'Calle María de Guzmán nº 58',40.4440297,-3.6956047
54,1811,1786,3597,-25,25,0.5034751181540172,50 - Museo Reina Sofía,'Calle Santa Isabel nº 57',40.4083684,-3.6933463
197,1779,1808,3587,29,29,0.4959576247560636,189 - Avenida Donostiarra,'Calle Virgen de la Alegría nº 18',40.4351256,-3.6554918
172,1789,1781,3570,-8,8,0.5011204481792717,160 - Colombia,'Calle Colombia nº 7',40.4572466,-3.6763439
3,1763,1803,3566,40,40,0.49439147504206393,2 - Miguel Moya,'Calle Miguel Moya nº 1',40.4205886,-3.7058415
202,1788,1746,3534,-42,42,0.5059422750424448,194 - Avenida de América 2,'Calle Francisco Silvela nº 86',40.43725,-3.6772222
115,1741,1763,3504,22,22,0.4968607305936073,109 - Marqués de Salamanca,'Calle José Ortega y Gasset nº 30',40.4300481,-3.6816402
82,1668,1830,3498,162,162,0.47684391080617494,78 - Pedro Bosch,'Calle Cerro de la Plata nº 2',40.400789,-3.6744
116,1722,1770,3492,48,48,0.49312714776632305,110 - Moncloa,'Paseo de Moret nº 2',40.4347895,-3.7200845
91,1792,1698,3490,-94,94,0.5134670487106017,86 - Cibeles,'Plaza Cibeles',40.4186516,-3.6933498
32,1771,1713,3484,-58,58,0.5083237657864523,28 - Sevilla,'Calle Alcalá nº 27',40.4181518,-3.6984368
192,1737,1724,3461,-13,13,0.5018780699219879,184 - Marqués de Zafra,'Paseo Marqués de Zafra nº 24',40.426,-3.6653055
156,1812,1642,3454,-170,170,0.5246091488129705,131 - Bravo Murillo 44,'Calle Bravo Murillo nº 44',40.4418402,-3.7040344
92,1737,1717,3454,-20,20,0.5028951939779965,87 - Ayala,'Calle Ayala nº 44',40.427736,-3.6832566
10,1734,1676,3410,-58,58,0.5085043988269795,9 - Plaza de San Miguel,'Plaza de San Miguel nº 9',40.4156057,-3.7095084
102,1771,1637,3408,-134,134,0.5196596244131455,97 - Alcalá,'Avenida de Menéndez Pelayo nº 3',40.4222969,-3.6805189
176,1673,1714,3387,41,41,0.4939474461175081,168 - Batalla del Salado,'Paseo Santa María de la Cabeza nº 29',40.4044722,-3.6959166
86,1696,1691,3387,-5,5,0.5007381163271332,81 - Cuesta de Moyano,'Cuesta de Claudio Moyano',40.409297,-3.691987
34,1725,1648,3373,-77,77,0.5114141713608064,30 - San Quintín,'Calle Pavía nº 6',40.4192095,-3.711504
200,1756,1611,3367,-145,145,0.5215325215325215,192 - Avenida de los Toreros,'Avenida de los Toreros nº 3',40.4318611,-3.6714166
162,1731,1623,3354,-108,108,0.5161001788908766,140 - Velázquez 130,'Calle Velázquez nº 130',40.4385127,-3.6831578
104,1685,1653,3338,-32,32,0.5047932893948472,99 - Alcántara,'Calle Alcántara nº 2',40.4261851,-3.6738714
141,1752,1573,3325,-179,179,0.5269172932330827,154 - Orense 36,'Calle Orense nº 36',40.4548456,-3.6946218
99,1694,1629,3323,-65,65,0.5097803189888654,94 - Biblioteca Nacional,'Paseo de Recoletos nº 20',40.4232153,-3.690756
243,1576,1708,3284,132,132,0.47990255785627284,235 - Embajadores 191,'Calle Sodio nº 1B',40.38925864357911,-3.690358964335348
190,1648,1623,3271,-25,25,0.5038214613268114,182 - Parque Roma,'Calle Alcalde Sáinz de Baranda frente al nº 107',40.4186666,-3.6657777
251,1665,1595,3260,-70,70,0.5107361963190185,243 - Cartagena,'Calle Cartagena nº 34',40.43503,-3.67012
4,1636,1624,3260,-12,12,0.501840490797546,3 - Plaza Conde Suchil,'Plaza del Conde del Valle de Súchil nº 3',40.4302937,-3.7069171
154,1649,1599,3248,-50,50,0.5076970443349754,138 - Paseo de la Castellana con Raimundo Fernández,'Paseo de la Castellana esquina calle Raimundo Fernández Villaverde',40.4457414,-3.6917932
259,1611,1617,3228,6,6,0.49907063197026025,251 - Corazón de María,'Calle Santa Hortensia nº 31',40.44421,-3.66683
113,1603,1572,3175,-31,31,0.5048818897637796,107 - Columela,'Calle Serrano nº 8',40.4215246,-3.6884369
21,1606,1560,3166,-46,46,0.50726468730259,20a - Banco de España A,'Calle Alcalá nº 49',40.4192342,-3.6954615
171,1604,1553,3157,-51,51,0.5080772885650935,145 - Ortega y Gasset 87,'Calle Ortega y Gasset nº 87',40.429887,-3.6712823
199,1570,1584,3154,14,14,0.49778059606848446,191 - Diego de león,'Calle Alonso Heredia nº 1',40.4346388,-3.674
27,1634,1519,3153,-115,115,0.5182366000634316,24 - Palacio de Oriente,'Calle Carlos III nº 1',40.417908,-3.710692
81,1530,1613,3143,83,83,0.4867960547247852,77 - Conde de Casal,'Plaza del Conde de Casal nº 8',40.40635,-3.670422
